DOI,Title,Authors,Journal,Year
10.1016/j.cub.2024.09.073,Co-option of the trichome-forming network initiated the evolution of a morphological novelty in Drosophila eugracilis,"Gavin Rice, Tatiana Gaitan-Escudero, Kenechukwu Charles-Obi, Julia Zeitlinger, Mark Rebeiz",Current Biology,2024
10.1080/19336934.2019.1653733,A standardized nomenclature and atlas of the male terminalia of<i>Drosophila melanogaster</i>,"Gavin Rice, Jean R. David, Yoshitaka Kamimura, John P. Masly, Alistair P. Mcgregor, Olga Nagy, Stephane Noselli, Maria Daniela Santos Nunes, Patrick O’Grady, Ernesto Sanchez-Herrero, Mark L. Siegal, Masanori J. Toda, Mark Rebeiz, Virginie Courtier-Orgogozo, Amir Yassin",Fly,2019
10.1534/g3.119.400788,An Atlas of Transcription Factors Expressed in Male Pupal Terminalia of<i>Drosophila melanogaster</i>,"Ben J Vincent, Gavin R Rice, Gabriella M Wong, William J Glassford, Kayla I Downs, Jessica L Shastay, Kenechukwu Charles-Obi, Malini Natarajan, Madelaine Gogol, Julia Zeitlinger, Mark Rebeiz",G3 Genes|Genomes|Genetics,2019
10.1080/19336934.2022.2058309,A standardized nomenclature and atlas of the female terminalia of <i>Drosophila melanogaster</i>,"Eden W. McQueen, Mehrnaz Afkhami, Joel Atallah, John M. Belote, Nicolas Gompel, Yael Heifetz, Yoshitaka Kamimura, Shani C. Kornhauser, John P. Masly, Patrick O’Grady, Julianne Pelaez, Mark Rebeiz, Gavin Rice, Ernesto Sanchez-Herrero, Maria Daniela Santos Nunes, Augusto Santos Rampasso, Sandra L. Schnakenberg, Mark L. Siegal, Aya Takahashi, Kentaro M. Tanaka, Natascha Turetzek, Einat Zelinger, Virginie Courtier-Orgogozo, Masanori J. Toda, Mariana F. Wolfner, Amir Yassin",Fly,2022
10.1002/jez.b.23113,Resolving between novelty and homology in the rapidly evolving phallus of Drosophila,"Gavin R. Rice, Jean R. David, Nicolas Gompel, Amir Yassin, Mark Rebeiz",Journal of Experimental Zoology Part B: Molecular and Developmental Evolution,2021
10.3389/fcell.2024.1349275,A developmental atlas of male terminalia across twelve species of Drosophila,"Anna Urum, Gavin Rice, William Glassford, Yifat Yanku, Boris Shklyar, Mark Rebeiz, Ella Preger-Ben Noon",Frontiers in Cell and Developmental Biology,2024
10.1186/s12862-022-02046-1,Trichomes on female reproductive tract: rapid diversification and underlying gene regulatory network in Drosophila suzukii and its related species,"Kentaro M. Tanaka, Kanoko Takahashi, Gavin Rice, Mark Rebeiz, Yoshitaka Kamimura, Aya Takahashi",BMC Ecology and Evolution,2022
10.1126/sciadv.adt7825,"A Notch signal required for a morphological novelty in
            <i>Drosophila</i>
            has antecedent functions in genital disc eversion","Donya N. Shodja, William J. Glassford, Gavin Rice, Sarah J. Smith, Mark Rebeiz",Science Advances,2025
10.1093/genetics/iyaf221,"Parallels in the regulatory landscape of dimorphic female and male genital structures in
                    <i>Drosophila melanogaster</i>","Eden McQueen, Gavin Rice, Shanker Pillai, Omid Saleh Ziabari, Ben J Vincent, Mark Rebeiz",GENETICS,2025
